"","Player","Team","GP","TOI","Shots Against","Saves","Goals Against","SV%","GAA","GSAA","xG Against"
"26","Linus Ullmark","BOS","49","2223.4666666667","1116","1052","64","0.943","1.73","31.65","88.25"
"48","Filip Gustavsson","MIN","39","1824.65","915","859","56","0.939","1.84","22.43","70.73"
"35","Ilya Sorokin","NYI","62","2953.4333333333","1475","1372","103","0.930","2.09","23.42","136.19"
"52","Jeremy Swayman","BOS","37","1579.0833333333","719","669","50","0.930","1.90","11.63","65.78"
"54","Alexandar Georgiev","COL","62","2963.85","1497","1392","105","0.930","2.13","23.31","120.21"
"24","Joonas Korpisalo","CBJ, L.A","39","1775.0333333333","928","862","66","0.929","2.23","13.54","80.42"
"28","Juuse Saros","NSH","64","2972.3166666667","1600","1484","116","0.928","2.34","21.14","143.5"
"38","Igor Shesterkin","NYR","58","2831.25","1402","1300","102","0.927","2.16","18.17","125.47"
"41","Ilya Samsonov","TOR","42","1988.3666666667","936","868","68","0.927","2.05","12.23","84.59"
"50","Jake Oettinger","DAL","62","2903.8833333333","1395","1293","102","0.927","2.11","17.57","118.14"
"25","Connor Hellebuyck","WPG","64","3032.0666666667","1547","1433","114","0.926","2.26","18.59","136.46"
"49","Stuart Skinner","EDM","50","2325.95","1170","1084","86","0.926","2.22","14.28","100.97"
"27","Antti Raanta","CAR","27","1192.9666666667","466","431","35","0.925","1.76","4.94","39.38"
"22","Andrei Vasilevskiy","T.B","60","2843.0833333333","1440","1330","110","0.924","2.32","13.42","122.87"
"8","Semyon Varlamov","NYI","23","1067.6","536","494","42","0.922","2.36","3.94","47.19"
"47","Carter Hart","PHI","55","2567.7666666667","1290","1189","101","0.922","2.36","9.57","113.21"
"53","Logan Thompson","VGK","37","1780.45","906","835","71","0.922","2.39","6.65","72.32"
"2","Marc-Andre Fleury","MIN","46","2093.2666666667","1056","973","83","0.921","2.38","7.51","87.87"
"32","Thatcher Demko","VAN","32","1513.0666666667","798","734","64","0.920","2.54","4.40","69.27"
"33","Vitek Vanecek","N.J","52","2367.2166666667","1069","983","86","0.920","2.18","5.62","92.15"
"44","Connor Ingram","ARI","27","1261.0333333333","710","653","57","0.920","2.71","3.85","57.8"
"29","Tristan Jarry","PIT","47","2095.25","1085","996","89","0.918","2.55","4.00","84.93"
"31","Pheonix Copley","L.A","37","1653.1666666667","707","649","58","0.918","2.11","2.60","65.7"
"14","Sergei Bobrovsky","FLA","50","2203.5833333333","1103","1012","91","0.917","2.48","3.54","99"
"40","Sam Montembeault","MTL","40","1890.9666666667","1045","957","88","0.916","2.79","1.57","98.54"
"42","Adin Hill","VGK","27","1276.0666666667","610","559","51","0.916","2.40","1.28","53.08"
"43","Karel Vejmelka","ARI","50","2307.15","1240","1134","106","0.915","2.76","0.28","109.2"
"19","Anton Forsberg","OTT","28","1123.5333333333","602","550","52","0.914","2.78","-0.40","53.06"
"45","Casey DeSmith","PIT","38","1670.8833333333","881","805","76","0.914","2.73","-0.49","80.95"
"1","Craig Anderson","BUF","26","1203.2166666667","633","578","55","0.913","2.74","-0.75","53.77"
"6","Alex Stalock","CHI","27","1207.7166666667","635","580","55","0.913","2.73","-0.57","50.96"
"55","Pyotr Kochetkov","CAR","24","1134.95","480","438","42","0.913","2.22","-0.86","42.58"
"12","Darcy Kuemper","WSH","57","2615.9833333333","1323","1207","116","0.912","2.66","-2.60","120.43"
"16","Philipp Grubauer","SEA","39","1670.7666666667","738","673","65","0.912","2.33","-1.75","71.87"
"23","Matt Murray","TOR","26","1158.4666666667","559","510","49","0.912","2.54","-1.09","48.8"
"21","John Gibson","ANA","53","2456.6","1598","1456","142","0.911","3.47","-5.03","142.14"
"18","Frederik Andersen","CAR","34","1609.6833333333","675","613","62","0.908","2.31","-4.15","56.65"
"36","Ville Husso","DET","56","2551.5166666667","1235","1121","114","0.908","2.68","-8.15","106.05"
"20","Jordan Binnington","STL","61","2911.0833333333","1459","1324","135","0.907","2.78","-9.95","139.62"
"4","Brian Elliott","T.B","22","1072.9","552","500","52","0.906","2.91","-4.69","47.19"
"39","Dan Vladar","CGY","27","1168.1833333333","501","454","47","0.906","2.41","-4.06","44.37"
"3","Jaroslav Halak","NYR","25","1196.6166666667","538","487","51","0.905","2.56","-4.89","51.01"
"11","Martin Jones","SEA","48","2135.7833333333","888","802","86","0.903","2.42","-9.89","80.33"
"13","Cam Talbot","OTT","36","1530.55","699","631","68","0.903","2.67","-8.09","61.03"
"46","Charlie Lindgren","WSH","31","1370.5","681","615","66","0.903","2.89","-7.63","58.95"
"17","Petr Mrazek","CHI","39","1774.4333333333","1011","909","102","0.899","3.45","-15.35","90.25"
"9","Jacob Markstrom","CGY","59","2696.8166666667","1182","1061","121","0.898","2.69","-19.69","110.65"
"51","Ukko-Pekka Luukkonen","BUF","33","1559.65","827","743","84","0.898","3.23","-13.12","72.57"
"5","Jonathan Quick","L.A, VGK","41","1784.1","827","742","85","0.897","2.86","-14.12","75.43"
"10","Jake Allen","MTL","42","1942.5833333333","1007","902","105","0.896","3.24","-18.69","93.43"
"15","Jack Campbell","EDM","36","1610.5833333333","790","708","82","0.896","3.05","-14.29","66.07"
"37","Kaapo Kahkonen","S.J","37","1709.1833333333","922","822","100","0.892","3.51","-20.97","81.82"
"7","James Reimer","S.J","43","2055.05","1032","920","112","0.891","3.27","-23.55","92.48"
"30","Spencer Martin","VAN","29","1303.8","667","592","75","0.888","3.45","-17.83","59.04"
"34","Elvis Merzlikins","CBJ","30","1269.8666666667","708","626","82","0.884","3.87","-21.32","58.58"
