"","Player","Team","Position","GP","TOI","Goals","Total Assists","First Assists","Second Assists","Total Points","IPP"
"229","Jimmy Vesey","NYR","L","81","956.25","7","12","6","6","19","46.34"
"260","Mattias Janmark","EDM","C","66","814.36666666667","5","14","9","5","19","63.33"
"277","Tyler Bertuzzi","BOS, DET","L","50","653","4","15","10","5","19","57.58"
"292","Nikita Zadorov","CGY","D","82","1295.2833333333","13","6","4","2","19","30.16"
"316","Tony DeAngelo","PHI","D","70","1172.3","5","14","9","5","19","39.58"
"329","Christian Dvorak","MTL","C","64","780.8","6","13","3","10","19","76.00"
"353","Jonas Siegenthaler","N.J","D","80","1382.8833333333","3","16","7","9","19","24.36"
"378","Nicolas Roy","VGK","C","65","825.93333333333","9","10","7","3","19","59.38"
"398","Will Borgen","SEA","D","82","1188.7333333333","3","16","9","7","19","32.20"
"433","Max Jones","ANA","L","69","836.68333333333","9","10","4","6","19","82.61"
"485","Klim Kostin","EDM","C","57","563.85","11","8","6","2","19","67.86"
"521","Sebastian Aho","NYI","D","71","1064.5","4","15","6","9","19","38.78"
"535","Philipp Kurashev","CHI","C","70","966.5","8","11","8","3","19","48.72"
"614","Anton Lundell","FLA","C","73","872.21666666667","9","10","5","5","19","48.72"
"616","Quinton Byfield","L.A","C","53","657.1","1","18","10","8","19","51.35"
"16","Paul Stastny","CAR","C","73","738.28333333333","7","11","5","6","18","62.07"
"45","Kevin Shattenkirk","ANA","D","75","1179.95","3","15","7","8","18","37.50"
"58","Lars Eller","COL, WSH","C","84","1051.15","8","10","7","3","18","51.43"
"79","Matt Martin","NYI","L","81","881.48333333333","7","11","7","4","18","64.29"
"117","Brenden Dillon","WPG","D","82","1347.0166666667","2","16","9","7","18","39.13"
"157","Ondrej Palat","N.J","L","49","658.48333333333","7","11","8","3","18","58.06"
"197","Colin Miller","DAL","D","79","1237.8166666667","5","13","7","6","18","29.51"
"219","Radek Faksa","DAL","C","81","918.1","10","8","5","3","18","69.23"
"222","Oskar Sundqvist","DET, MIN","C","67","723.55","6","12","5","7","18","64.29"
"223","Esa Lindell","DAL","D","82","1280.6166666667","5","13","6","7","18","33.33"
"257","Hudson Fasching","NYI","R","49","598.2","10","8","6","2","18","54.55"
"281","Jonathan Drouin","MTL","L","58","700.48333333333","2","16","9","7","18","78.26"
"314","Travis Sanheim","PHI","D","81","1391.5666666667","6","12","9","3","18","39.13"
"367","Keegan Kolesar","VGK","R","74","835.51666666667","8","10","10","0","18","58.06"
"389","Ivan Provorov","PHI","D","82","1508.3833333333","5","13","5","8","18","32.14"
"391","Yakov Trenin","NSH","C","77","942.81666666667","9","9","6","3","18","78.26"
"409","Matt Roy","L.A","D","82","1292.2666666667","5","13","5","8","18","30.00"
"422","Carl Grundstrom","L.A","R","57","568.75","11","7","5","2","18","72.00"
"501","Pierre-Olivier Joseph","PIT","D","75","1040.0166666667","4","14","7","7","18","33.96"
"510","Calle Rosen","STL","D","49","697.6","8","10","4","6","18","40.91"
"565","Jonatan Berggren","DET","R","67","773.1","9","9","5","4","18","64.29"
"567","Paul Cotter","VGK","C","55","679.01666666667","13","5","2","3","18","69.23"
"579","Kirby Dach","MTL","C","58","802.18333333333","8","10","6","4","18","48.65"
