Player,Signing_Date,Cap_Hit
1. Sergei Bobrovsky,"Jul. 1, 2019","$10,000,000"
2. Andrei Vasilevskiy,"Jul. 29, 2019","$9,500,000"
3. John Gibson,"Aug. 4, 2018","$6,400,000"
4. Connor Hellebuyck,"Jul. 12, 2018","$6,166,667"
5. Jordan Binnington,"Mar. 11, 2021","$6,000,000"
6. Jacob Markström,"Oct. 9, 2020","$6,000,000"
7. Igor Shesterkin,"Aug. 9, 2021","$5,666,667"
8. Elvis Merzlikins,"Sep. 21, 2021","$5,400,000"
9. Tristan Jarry,"Jul. 1, 2023","$5,375,000"
10. Darcy Kuemper,"Jul. 13, 2022","$5,250,000"
11. Linus Ullmark,"Jul. 28, 2021","$5,000,000"
12. Juuse Saros,"Aug. 16, 2021","$5,000,000"
13. Thatcher Demko,"Mar. 31, 2021","$5,000,000"
14. Joonas Korpisalo,"Jul. 1, 2023","$4,000,000"
15. Ilya Sorokin,"Sep. 1, 2021","$4,000,000"
16. Jake Oettinger,"Sep. 1, 2022","$4,000,000"
17. Carter Hart,"Aug. 9, 2021","$3,979,000"
18. Petr Mrázek,"Jul. 28, 2021","$3,800,000"
19. Filip Gustavsson,"Jul. 31, 2023","$3,750,000"
20. Marc-André Fleury,"Jul. 7, 2022","$3,500,000"
21. Jeremy Swayman,"Aug. 1, 2023","$3,475,000"
22. Alexandar Georgiev,"Jul. 10, 2022","$3,400,000"
23. Vitek Vanecek,"Jul. 19, 2022","$3,400,000"
24. Kaapo Kähkönen,"Jul. 18, 2022","$2,750,000"
25. Karel Vejmelka,"Mar. 21, 2022","$2,725,000"
26. Stuart Skinner,"Dec. 19, 2022","$2,600,000"
27. Mackenzie Blackwood,"Jul. 1, 2023","$2,350,000"
28. Pyotr Kochetkov,"Nov. 23, 2022","$2,000,000"
29. Connor Ingram,"Jun. 25, 2023","$1,950,000"
30. Antti Raanta,"Jul. 1, 2023","$1,500,000"
31. Joey Daccord,"Jun. 30, 2023","$1,200,000"
32. Charlie Lindgren,"Jul. 13, 2022","$1,100,000"
33. Cam Talbot,"Jul. 1, 2023","$1,000,000"
34. Scott Wedgewood,"Jun. 30, 2022","$1,000,000"
35. Samuel Montembeault,"Jul. 18, 2022","$1,000,000"
36. Arvid Söderblom,"May 10, 2023","$962,500"
37. Devon Levi,"Mar. 17, 2023","$925,000"
38. Alex Lyon,"Jul. 1, 2023","$900,000"
39. Samuel Ersson,"Jun. 3, 2021","$859,167"
40. Ukko-Pekka Luukkonen,"Aug. 31, 2022","$837,500"
41. Lukas Dostal,"Jul. 16, 2023","$812,500"
42. Jonas Johansson,"Jul. 1, 2023","$775,000"
43. Logan Thompson,"Jan. 30, 2022","$766,667"
