Player,Signing_Date,Cap_Hit
1. Carey Price,"Jul. 2, 2017","$10,500,000"
2. Henrik Lundqvist,"Dec. 4, 2013","$8,500,000"
3. Sergei Bobrovsky,"Jan. 11, 2015","$7,425,000"
4. Tuukka Rask,"Jul. 10, 2013","$7,000,000"
5. Pekka Rinne,"Nov. 4, 2011","$7,000,000"
6. Connor Hellebuyck,"Jul. 12, 2018","$6,166,667"
7. Braden Holtby,"Jul. 24, 2015","$6,100,000"
8. Cory Schneider,"Jul. 9, 2014","$6,000,000"
9. Corey Crawford,"Sep. 2, 2013","$6,000,000"
10. Semyon Varlamov,"Jan. 30, 2014","$5,900,000"
11. Jonathan Quick,"Jul. 1, 2012","$5,800,000"
12. Martin Jones,"Jul. 1, 2017","$5,750,000"
13. Marc-André Fleury,"Nov. 5, 2014","$5,750,000"
14. Mike Smith,"Jun. 30, 2013","$5,666,667"
15. Roberto Luongo,"Sep. 2, 2009","$5,333,333"
16. Jimmy Howard,"Apr. 16, 2013","$5,291,666"
17. Frederik Andersen,"Jun. 20, 2016","$5,000,000"
18. Ben Bishop,"May 12, 2017","$4,916,667"
19. Craig Anderson,"Sep. 29, 2017","$4,750,000"
20. Jake Allen,"Jul. 1, 2016","$4,350,000"
21. Devan Dubnyk,"Jun. 27, 2015","$4,333,333"
22. Cam Talbot,"Jan. 17, 2016","$4,166,666"
23. Matt Murray,"Oct. 20, 2016","$3,750,000"
24. Jacob Markström,"Jul. 7, 2016","$3,666,667"
25. Andrei Vasilevskiy,"Jul. 1, 2016","$3,500,000"
26. James Reimer,"Jul. 1, 2016","$3,400,000"
27. Philipp Grubauer,"Jun. 23, 2018","$3,333,333"
28. Thomas Greiss,"Jan. 30, 2017","$3,333,333"
29. Cam Ward,"Jul. 1, 2018","$3,000,000"
30. Jonathan Bernier,"Jul. 1, 2018","$3,000,000"
31. Jaroslav Halák,"Jul. 1, 2018","$2,750,000"
32. Carter Hutton,"Jul. 1, 2018","$2,750,000"
33. Brian Elliott,"Jul. 1, 2017","$2,750,000"
34. Anton Khudobin,"Jul. 1, 2018","$2,500,000"
35. Mikko Koskinen,"May 1, 2018","$2,500,000"
36. Anders Nilsson,"Jul. 1, 2017","$2,500,000"
37. John Gibson,"Sep. 21, 2015","$2,300,000"
38. Ryan Miller,"Jul. 1, 2017","$2,000,000"
39. Aaron Dell,"Feb. 28, 2018","$1,900,000"
40. Darcy Kuemper,"Feb. 21, 2018","$1,850,000"
41. Juuse Saros,"Jul. 16, 2018","$1,500,000"
42. Robin Lehner,"Jul. 3, 2018","$1,500,000"
43. Petr Mrázek,"Jul. 1, 2018","$1,500,000"
44. Keith Kinkaid,"Jun. 29, 2017","$1,250,000"
45. Louis Domingue,"Jun. 22, 2018","$1,150,000"
46. Joonas Korpisalo,"Jun. 9, 2017","$900,000"
47. Curtis McElhinney,"Jun. 30, 2017","$850,000"
48. David Rittich,"Jul. 26, 2018","$800,000"
49. Alexandar Georgiev,"Jul. 17, 2017","$792,500"
50. Linus Ullmark,"Jun. 13, 2017","$750,000"
51. Carter Hart,"Oct. 2, 2016","$730,833"
52. Mackenzie Blackwood,"Dec. 30, 2015","$697,500"
53. Jack Campbell,"Nov. 22, 2017","$675,000"
54. Casey DeSmith,"Jul. 1, 2017","$675,000"
55. Garret Sparks,"Jun. 30, 2017","$675,000"
56. Jordan Binnington,"Jul. 6, 2018","$650,000"
57. Laurent Brossoit,"Jul. 1, 2018","$650,000"
58. Malcolm Subban,"Jul. 14, 2017","$650,000"
59. Pheonix Copley,"Jun. 28, 2017","$650,000"
60. Alex Stalock,"Feb. 2, 2017","$650,000"
