Player,Signing_Date,Cap_Hit
1. Sergei Bobrovsky,"Jul. 1, 2019","$10,000,000"
2. Andrei Vasilevskiy,"Jul. 29, 2019","$9,500,000"
3. Marc-André Fleury,"Jul. 13, 2018","$7,000,000"
4. John Gibson,"Aug. 4, 2018","$6,400,000"
5. Matt Murray,"Oct. 9, 2020","$6,250,000"
6. Connor Hellebuyck,"Jul. 12, 2018","$6,166,667"
7. Jordan Binnington,"Mar. 11, 2021","$6,000,000"
8. Jacob Markström,"Oct. 9, 2020","$6,000,000"
9. Philipp Grubauer,"Jul. 28, 2021","$5,900,000"
10. Jonathan Quick,"Jul. 1, 2012","$5,800,000"
11. Igor Shesterkin,"Aug. 9, 2021","$5,666,667"
12. Juuse Saros,"Aug. 16, 2021","$5,000,000"
13. Linus Ullmark,"Jul. 28, 2021","$5,000,000"
14. Thatcher Demko,"Mar. 31, 2021","$5,000,000"
15. Robin Lehner,"Oct. 3, 2020","$5,000,000"
16. Semyon Varlamov,"Jul. 1, 2019","$5,000,000"
17. Frederik Andersen,"Jul. 28, 2021","$4,500,000"
18. Darcy Kuemper,"Oct. 2, 2019","$4,500,000"
19. Mikko Koskinen,"Jan. 21, 2019","$4,500,000"
20. Ilya Sorokin,"Sep. 1, 2021","$4,000,000"
21. Elvis Merzlikins,"Apr. 23, 2020","$4,000,000"
22. Carter Hart,"Aug. 9, 2021","$3,979,000"
23. Petr Mrázek,"Jul. 28, 2021","$3,800,000"
24. Cam Talbot,"Oct. 9, 2020","$3,666,667"
25. Thomas Greiss,"October 10, 2020","$3,600,000"
26. Chris Driedger,"Jul. 21, 2021","$3,500,000"
27. Tristan Jarry,"October 3, 2020","$3,500,000"
28. Alex Nedeljkovic,"Jul. 22, 2021","$3,000,000"
29. Jake Allen,"Oct. 14, 2020","$2,875,000"
30. Mackenzie Blackwood,"December 23, 2020","$2,800,000"
31. Joonas Korpisalo,"Apr. 17, 2020","$2,800,000"
32. Alexandar Georgiev,"Oct. 15, 2020","$2,425,000"
33. Laurent Brossoit,"Jul. 28, 2021","$2,325,000"
34. James Reimer,"Jul. 28, 2021","$2,250,000"
35. Mike Smith,"Jul. 22, 2021","$2,200,000"
36. Adin Hill,"Aug. 4, 2021","$2,175,000"
37. Ilya Samsonov,"Aug. 9, 2021","$2,000,000"
38. Martin Jones,"Jul. 28, 2021","$2,000,000"
39. Braden Holtby,"Jul. 28, 2021","$2,000,000"
40. Antti Raanta,"Jul. 28, 2021","$2,000,000"
41. Pavel Francouz,"Feb. 21, 2020","$2,000,000"
42. Jack Campbell,"Sep. 7, 2019","$1,650,000"
43. Casey DeSmith,"Jan. 11, 2019","$1,250,000"
44. Anthony Stolarz,"January 6, 2021","$950,000"
45. Spencer Knight,"March 31, 2021","$925,000"
46. Jeremy Swayman,"Mar. 18, 2020","$925,000"
47. Jake Oettinger,"Mar. 25, 2019","$925,000"
48. Anton Forsberg,"May 5, 2021","$900,000"
49. Cal Petersen,"Jul. 16, 2019","$858,333"
50. Nico Daws,"May. 5, 2021","$850,833"
51. Karel Vejmelka,"May. 4, 2021","$842,500"
52. Scott Wedgewood,"Jul. 6, 2021","$825,000"
53. Kevin Lankinen,"Apr. 2, 2020","$800,000"
54. Jon Gillies,"Dec. 8, 2021","$750,000"
55. Samuel Montembeault,"Aug. 1, 2021","$750,000"
56. Craig Anderson,"Jul. 28, 2021","$750,000"
57. Daniel Vladar,"Aug. 23, 2020","$750,000"
58. Ville Husso,"Jan. 30, 2020","$750,000"
59. Dustin Tokarski,"Nov. 4, 2020","$725,000"
60. Kaapo Kähkönen,"Oct. 12, 2020","$725,000"
61. Vitek Vanecek,"Jul. 1, 2019","$716,667"
