Player,Cap_Hit
159. Charlie Coyle,"$5,250,000"
160. Jakob Silfverberg,"$5,250,000"
161. Brady Skjei,"$5,250,000"
162. J.T. Miller,"$5,250,000"
163. Shea Theodore,"$5,200,000"
164. Yanni Gourde,"$5,166,666"
165. Evander Kane,"$5,125,000"
166. Bryan Rust,"$5,125,000"
167. Ryan Nugent-Hopkins,"$5,125,000"
168. Rasmus Ristolainen,"$5,100,000"
169. Dmitry Orlov,"$5,100,000"
170. Ryan Strome,"$5,000,000"
171. Reilly Smith,"$5,000,000"
172. Rickard Rakell,"$5,000,000"
173. Anthony Deangelo,"$5,000,000"
174. Jared McCann,"$5,000,000"
175. Joel Farabee,"$5,000,000"
176. Kyle Palmieri,"$5,000,000"
177. Juuse Saros,"$5,000,000"
178. Linus Ullmark,"$5,000,000"
179. Mikael Granlund,"$5,000,000"
180. Evgeni Dadonov,"$5,000,000"
181. TJ Brodie,"$5,000,000"
182. Jean-Gabriel Pageau,"$5,000,000"
183. Samuel Girard,"$5,000,000"
184. Josh Bailey,"$5,000,000"
185. Jonathan Marchessault,"$5,000,000"
186. Tyler Johnson,"$5,000,000"
187. Drake Batherson,"$4,975,000"
188. Conor Garland,"$4,950,000"
189. Noah Hanifin,"$4,950,000"
190. Blake Coleman,"$4,900,000"
191. Michael Matheson,"$4,875,000"
192. Elias Lindholm,"$4,850,000"
193. Jesperi Kotkaniemi,"$4,820,000"
194. Anthony Cirelli,"$4,800,000"
195. Mikhail Sergachev,"$4,800,000"
196. David Perron,"$4,750,000"
197. Ben Chiarot,"$4,750,000"
198. Ilya Mikheyev,"$4,750,000"
199. Victor Olofsson,"$4,750,000"
200. Ville Husso,"$4,750,000"
201. Tyler Bertuzzi,"$4,750,000"
202. Alex Tuch,"$4,750,000"
203. Kevin Labanc,"$4,725,000"
204. Travis Sanheim,"$4,675,000"
205. Jamie Oleksiak,"$4,600,000"
206. Jakob Chychrun,"$4,600,000"
207. Rasmus Andersson,"$4,550,000"
208. Artturi Lehkonen,"$4,500,000"
209. Mason Marchment,"$4,500,000"
210. Tomas Tatar,"$4,500,000"
211. Brandon Saad,"$4,500,000"
212. Mike Hoffman,"$4,500,000"
213. Alexander Wennberg,"$4,500,000"
214. Tyson Barrie,"$4,500,000"
215. Christopher Tanev,"$4,500,000"
216. Shayne Gostisbehere,"$4,500,000"
217. Nikita Zaitsev,"$4,500,000"
218. Christian Dvorak,"$4,450,000"
219. Alex Killorn,"$4,450,000"
220. Sam Bennett,"$4,425,000"
221. Filip Hronek,"$4,400,000"
222. Connor Murphy,"$4,400,000"
223. John Marino,"$4,400,000"
224. Lawson Crouse,"$4,300,000"
225. Tyler Toffoli,"$4,250,000"
