"","Player","Team","GP","TOI","Shots Against","Saves","Goals Against","SV%","GAA","GSAA","xG Against"
"12","Connor Hellebuyck","WPG","35","1661.2833333333","783","739","44","0.944","1.59","23.41","67.05"
"33","Jeremy Swayman","BOS","27","1175.1833333333","576","542","34","0.941","1.74","15.59","48.83"
"26","Joey Daccord","SEA","34","1635.7333333333","779","730","49","0.937","1.80","18.07","63.89"
"13","Linus Ullmark","BOS","24","1132.9666666667","592","550","42","0.929","2.22","8.97","50.86"
"25","Sam Montembeault","MTL","23","1074.3333333333","542","503","39","0.928","2.18","7.66","50.28"
"21","Ilya Sorokin","NYI","35","1698.8666666667","945","876","69","0.927","2.44","12.36","77.79"
"1","Marc-Andre Fleury","MIN","23","1010.8833333333","458","424","34","0.926","2.02","5.43","36.99"
"17","Thatcher Demko","VAN","35","1658","775","717","58","0.925","2.10","8.72","68.39"
"27","Connor Ingram","ARI","32","1428.7166666667","686","634","52","0.924","2.18","7.06","61.72"
"7","Petr Mrazek","CHI","34","1530.6833333333","838","773","65","0.922","2.55","7.15","72.26"
"16","Tristan Jarry","PIT","32","1394.55","674","621","53","0.921","2.28","5.03","61.2"
"5","Sergei Bobrovsky","FLA","36","1623.3666666667","733","674","59","0.920","2.18","4.11","60.99"
"2","Jacob Markstrom","CGY","29","1364.4333333333","655","601","54","0.918","2.37","2.39","63.09"
"30","Stuart Skinner","EDM","34","1571.55","659","605","54","0.918","2.06","2.74","60.97"
"22","Kaapo Kahkonen","S.J","24","1030.1166666667","600","550","50","0.917","2.91","1.66","54.52"
"34","Logan Thompson","VGK","31","1455.0833333333","708","649","59","0.917","2.43","1.96","58.12"
"15","Juuse Saros","NSH","40","1755.3166666667","861","788","73","0.915","2.50","1.13","70.72"
"6","Scott Wedgewood","DAL","22","1057.0333333333","502","459","43","0.914","2.44","0.22","39.54"
"9","John Gibson","ANA","32","1390.5333333333","672","614","58","0.914","2.50","-0.14","62.32"
"8","Jordan Binnington","STL","35","1618.1","850","776","74","0.913","2.74","-0.82","77.89"
"4","Cam Talbot","L.A","32","1480.5666666667","702","639","63","0.910","2.55","-2.56","60.45"
"32","Ukko-Pekka Luukkonen","BUF","26","1186.9666666667","543","494","49","0.910","2.48","-2.25","50.07"
"28","Carter Hart","PHI","26","1158.3333333333","581","528","53","0.909","2.75","-2.98","48.95"
"10","Andrei Vasilevskiy","T.B","26","1260.6166666667","578","525","53","0.908","2.52","-3.24","50.21"
"24","Mackenzie Blackwood","S.J","32","1426","779","707","72","0.908","3.03","-4.93","69.96"
"20","Elvis Merzlikins","CBJ","28","1257.0666666667","677","614","63","0.907","3.01","-4.71","63.83"
"35","Alexandar Georgiev","COL","41","1841.3666666667","831","754","77","0.907","2.51","-5.46","71.02"
"36","Samuel Ersson","PHI","25","1105.5833333333","446","404","42","0.906","2.28","-3.60","40.54"
"37","Pyotr Kochetkov","CAR","23","1002.9833333333","434","393","41","0.906","2.45","-3.63","36.81"
"11","Joonas Korpisalo","OTT","33","1427.1833333333","729","660","69","0.905","2.90","-6.24","65.83"
"23","Igor Shesterkin","NYR","32","1518.1666666667","705","638","67","0.905","2.65","-6.30","62.92"
"19","Jonas Johansson","T.B","22","1040.7","537","484","53","0.901","3.06","-6.77","48.74"
"31","Jake Oettinger","DAL","28","1280.9166666667","587","529","58","0.901","2.72","-7.46","48.67"
"3","Darcy Kuemper","WSH","24","1125.9833333333","539","484","55","0.898","2.93","-8.59","50.27"
"29","Filip Gustavsson","MIN","29","1242.4","609","547","62","0.898","2.99","-9.57","49.2"
"18","Vitek Vanecek","N.J","29","1311.55","601","539","62","0.897","2.84","-10.26","50.82"
"14","Antti Raanta","CAR","23","1008.0833333333","399","357","42","0.895","2.50","-7.65","40.19"
