"","Player","Team","Position","GP","TOI","Goals","Total Assists","First Assists","Second Assists","Total Points","IPP"
"255","Esa Lindell","DAL","D","76","1358.6833333333","3","12","9","3","15","30.00"
"262","Jordan Martinook","CAR","L","59","623.41666666667","6","9","6","3","15","62.50"
"293","Carson Soucy","SEA","D","64","947.11666666667","9","6","3","3","15","38.46"
"334","Curtis Lazar","BOS","C","70","708.9","8","7","3","4","15","68.18"
"338","Trevor van Riemsdyk","WSH","D","72","1033.0333333333","1","14","5","9","15","35.71"
"345","Tomas Nosek","BOS","L","75","829.96666666667","3","12","7","5","15","57.69"
"373","Juho Lammikko","VAN","L","75","794.56666666667","7","8","6","2","15","57.69"
"403","Jack Eichel","VGK","C","34","515.13333333333","10","5","4","1","15","65.22"
"460","Matt Roy","L.A","D","67","1145.7833333333","2","13","10","3","15","31.25"
"478","Jakob Chychrun","ARI","D","47","854.88333333333","5","10","5","5","15","51.72"
"483","Kieffer Bellows","NYI","L","45","509.56666666667","6","9","5","4","15","68.18"
"509","Janne Kuokkanen","N.J","C, L","57","685.31666666667","4","11","4","7","15","55.56"
"511","Brandon Duhaime","MIN","R","80","748.08333333333","5","10","5","5","15","57.69"
"577","Philipp Kurashev","CHI","C","67","751.28333333333","3","12","8","4","15","71.43"
"584","Joe Veleno","DET","C","66","803.06666666667","8","7","4","3","15","65.22"
"611","Nils Hoglander","VAN","L","60","712.91666666667","9","6","2","4","15","62.50"
"615","Kaapo Kakko","NYR","R","43","569.91666666667","6","9","4","5","15","65.22"
"21","Alexander Radulov","DAL","R","71","818.86666666667","3","11","8","3","14","56.00"
"32","Marc-Edouard Vlasic","S.J","D","75","1055.8833333333","3","11","5","6","14","51.85"
"53","Nicklas Backstrom","WSH","C","47","598.45","4","10","7","3","14","56.00"
"81","Nick Holden","OTT","D","76","1222.7333333333","5","9","6","3","14","32.56"
"86","Luke Schenn","VAN","D","66","991.3","2","12","7","5","14","33.33"
"124","Zack Kassian","EDM","R","58","656.58333333333","3","11","8","3","14","46.67"
"126","Nick Leddy","DET, STL","D","75","1373.9666666667","3","11","3","8","14","28.00"
"128","Brayden McNabb","VGK","D","69","1139.1166666667","1","13","4","9","14","28.57"
"137","Chris Wideman","MTL","D","64","759.23333333333","4","10","5","5","14","53.85"
"138","Casey Cizikas","NYI","C","74","846.26666666667","9","5","3","2","14","73.68"
"139","David Savard","MTL","D","62","1078.3833333333","3","11","4","7","14","35.00"
"154","Jason Zucker","PIT","L","41","534.61666666667","5","9","5","4","14","58.33"
"170","Jaden Schwartz","SEA","C","37","549.58333333333","4","10","6","4","14","60.87"
"185","Brendan Gallagher","MTL","R","56","684.35","1","13","9","4","14","43.75"
"220","Jamie Oleksiak","SEA","D","72","1212.5","0","14","8","6","14","27.45"
"251","Radek Faksa","DAL","C","77","1009.6166666667","2","12","6","6","14","70.00"
"394","Dryden Hunt","NYR","L","76","896.8","5","9","5","4","14","58.33"
"472","Carl Grundstrom","L.A","R","54","565.23333333333","8","6","3","3","14","73.68"
"503","Nathan Bastian","N.J, SEA","R","72","692.63333333333","9","5","4","1","14","58.33"
"527","Nicolas Hague","VGK","D","52","848.33333333333","4","10","4","6","14","31.82"
