"","Player","Team","GP","TOI","Shots Against","Saves","Goals Against","SV%","GAA","GSAA","xG Against"
"9","Jimmy Howard","DET","55","2468.1833333333","1366","1263","103","0.925","2.50","7.09","112.26"
"42","John Gibson","ANA","58","2594.7833333333","1387","1288","99","0.929","2.29","12.78","121.88"
"22","Jonathan Bernier","DET","35","1535.6166666667","826","753","73","0.912","2.85","-6.43","65.03"
"19","Jonathan Quick","L.A","46","2190.3666666667","1073","965","108","0.899","2.96","-21.53","87.89"
"46","Joonas Korpisalo","CBJ","27","1151.7666666667","557","507","50","0.910","2.60","-5.11","43.4"
"41","Jordan Binnington","STL","32","1570.25","659","620","39","0.941","1.49","14.11","51.2"
"50","Juuse Saros","NSH","31","1336.3666666667","691","638","53","0.923","2.38","2.69","55.8"
"40","Keith Kinkaid","N.J","41","1809.5333333333","946","854","92","0.903","3.05","-15.76","74.76"
"48","Linus Ullmark","BUF","37","1736.6666666667","948","870","78","0.918","2.69","-1.60","68.82"
"37","Louis Domingue","T.B","26","1236.6333333333","603","550","53","0.912","2.57","-4.40","45.34"
"52","Mackenzie Blackwood","N.J","23","1011.7166666667","547","507","40","0.927","2.37","4.08","40.32"
"43","Malcolm Subban","VGK","21","1023.6666666667","512","468","44","0.914","2.58","-2.74","35.99"
"7","Marc-Andre Fleury","VGK","61","2940.8333333333","1378","1264","114","0.917","2.33","-2.95","111.45"
"27","Martin Jones","S.J","62","2922.2666666667","1319","1180","139","0.895","2.85","-32.70","110.4"
"45","Matt Murray","PIT","50","2325.0833333333","1266","1182","84","0.934","2.17","18.03","95.76"
"4","Mike Smith","CGY","42","1918.0166666667","859","778","81","0.906","2.53","-11.77","69.22"
"28","Mikko Koskinen","EDM","55","2462.1166666667","1247","1142","105","0.916","2.56","-4.50","100.01"
"16","Pekka Rinne","NSH","56","2571.9333333333","1260","1172","88","0.930","2.05","13.54","97.22"
"38","Petr Mrazek","CAR","40","1918.95","869","809","60","0.931","1.88","10.03","70.1"
"51","Pheonix Copley","WSH","27","1218.65","600","549","51","0.915","2.51","-2.65","49.94"
"36","Philipp Grubauer","COL","37","1573.7166666667","819","760","59","0.928","2.25","7.00","59.63"
"1","Roberto Luongo","FLA","43","1906.0166666667","994","901","93","0.906","2.93","-12.89","80.56"
"30","Robin Lehner","NYI","46","2164","1062","993","69","0.935","1.91","16.59","85.1"
"23","Semyon Varlamov","COL","49","2228.65","1130","1038","92","0.919","2.48","-0.93","88.64"
"34","Sergei Bobrovsky","CBJ","62","2929.6166666667","1465","1345","120","0.918","2.46","-1.94","116.23"
"14","Thomas Greiss","NYI","43","1831.95","927","870","57","0.939","1.87","17.71","70.88"
"18","Tuukka Rask","BOS","46","2156.7","956","886","70","0.927","1.95","7.04","71.59"
