"","Player","Team","GP","TOI","Shots Against","Saves","Goals Against","SV%","GAA","GSAA","xG Against"
"49","Aaron Dell","S.J","25","1056.7833333333","474","428","46","0.903","2.61","-7.80","40.86"
"56","Alexandar Georgiev","NYR","33","1486.7166666667","823","753","70","0.915","2.83","-3.67","68.75"
"29","Anders Nilsson","OTT, VAN","36","1678.3833333333","899","826","73","0.919","2.61","-0.55","68.83"
"44","Andrei Vasilevskiy","T.B","53","2517.2166666667","1315","1222","93","0.929","2.22","12.98","94.58"
"15","Anton Khudobin","DAL","41","1816.1333333333","960","895","65","0.932","2.15","12.37","70.16"
"20","Ben Bishop","DAL","46","2161.3166666667","1078","1011","67","0.938","1.86","19.88","81.62"
"26","Braden Holtby","WSH","59","2715.8666666667","1433","1323","110","0.923","2.43","5.49","122.71"
"11","Brian Elliott","PHI","26","1122.5166666667","592","544","48","0.919","2.57","-0.29","47.82"
"33","Cam Talbot","EDM, PHI","35","1556.1166666667","815","743","72","0.912","2.78","-6.32","67.7"
"6","Cam Ward","CHI","33","1544","888","816","72","0.919","2.80","-0.44","76.33"
"17","Carey Price","MTL","66","3132.9333333333","1554","1438","116","0.925","2.22","9.24","115.6"
"54","Carter Hart","PHI","31","1390.1833333333","796","730","66","0.917","2.85","-1.85","58.28"
"32","Carter Hutton","BUF","50","2292.7","1236","1129","107","0.913","2.80","-7.39","90.89"
"53","Casey DeSmith","PIT","36","1595.45","845","785","60","0.929","2.26","8.10","65.5"
"47","Connor Hellebuyck","WPG","63","2964","1597","1469","128","0.920","2.59","0.70","120.28"
"8","Corey Crawford","CHI","39","1817.05","939","860","79","0.916","2.61","-3.33","76.59"
"13","Cory Schneider","N.J","26","1081.7833333333","579","527","52","0.910","2.88","-5.34","43.1"
"2","Craig Anderson","OTT","50","2275.2","1350","1225","125","0.907","3.30","-16.20","105.48"
"5","Curtis McElhinney","CAR","33","1606.3166666667","782","720","62","0.921","2.32","1.02","69.96"
"31","Darcy Kuemper","ARI","55","2609.1666666667","1330","1232","98","0.926","2.25","9.19","98.8"
"55","David Rittich","CGY","45","1985.1","960","892","68","0.929","2.06","9.37","76.93"
"12","Devan Dubnyk","MIN","67","3126.1666666667","1462","1342","120","0.918","2.30","-2.18","102.76"
"39","Frederik Andersen","TOR","60","2889.7333333333","1599","1486","113","0.929","2.35","15.86","126.56"
"3","Henrik Lundqvist","NYR","52","2465.7833333333","1309","1207","102","0.922","2.48","3.49","102.64"
"35","Jack Campbell","L.A","31","1291.5666666667","693","647","46","0.934","2.14","9.85","52.01"
"24","Jacob Markstrom","VAN","60","2857.5833333333","1527","1406","121","0.921","2.54","2.06","119.08"
"25","Jake Allen","STL","46","2022.8333333333","1001","915","86","0.914","2.55","-5.33","76.58"
"21","James Reimer","FLA","36","1422.5166666667","728","663","65","0.911","2.74","-6.33","58.45"
"10","Jaroslav Halak","BOS","40","1836.9166666667","888","831","57","0.936","1.86","14.56","70.36"
