"","Player","Team","GP","TOI","Shots Against","Saves","Goals Against","SV%","GAA","GSAA","xG Against"
"39","Ilya Sorokin","NYI","52","2508.1833333333","1328","1243","85","0.936","2.03","26.76","106.28"
"42","Igor Shesterkin","NYR","53","2474.0166666667","1256","1174","82","0.935","1.99","23.70","105.86"
"35","Thatcher Demko","VAN","64","3003.5666666667","1553","1447","106","0.932","2.12","24.70","125.26"
"8","Jacob Markstrom","CGY","63","2979.35","1383","1283","100","0.928","2.01","16.39","112.91"
"15","Darcy Kuemper","COL","57","2575.8166666667","1349","1252","97","0.928","2.26","16.53","104.15"
"33","Juuse Saros","NSH","67","3058.6166666667","1550","1437","113","0.927","2.22","17.44","118.52"
"21","Frederik Andersen","CAR","52","2394.5333333333","1113","1031","82","0.926","2.05","11.67","98.2"
"26","Andrei Vasilevskiy","T.B","63","2982.95","1461","1353","108","0.926","2.17","14.95","119.08"
"37","Vitek Vanecek","WSH","42","1861","876","811","65","0.926","2.10","8.72","71.72"
"40","Ville Husso","STL","40","1891.9666666667","1007","932","75","0.926","2.38","9.75","88.34"
"2","Mike Smith","EDM","28","1276.1166666667","652","603","49","0.925","2.30","5.87","52.61"
"5","Jonathan Quick","L.A","46","2145.35","994","919","75","0.925","2.10","8.65","91.18"
"34","Tristan Jarry","PIT","58","2785.2333333333","1366","1263","103","0.925","2.22","11.96","104.45"
"54","Spencer Knight","FLA","32","1364.8833333333","656","607","49","0.925","2.15","6.21","52.45"
"10","Braden Holtby","DAL","24","1047.9666666667","561","518","43","0.923","2.46","4.21","44.2"
"31","Antti Raanta","CAR","28","1222.1666666667","571","527","44","0.923","2.16","4.05","52.5"
"23","Anton Forsberg","OTT","46","2064.0166666667","1129","1041","88","0.922","2.56","7.01","89.86"
"48","Casey DeSmith","PIT","26","1146.0833333333","615","567","48","0.922","2.51","3.76","46.79"
"51","Jeremy Swayman","BOS","41","1912.0833333333","837","772","65","0.922","2.04","5.44","64.19"
"9","Jake Allen","MTL","35","1567.2833333333","884","814","70","0.921","2.68","4.39","75.25"
"16","Cam Talbot","MIN","49","2270.1666666667","1132","1043","89","0.921","2.35","6.27","78.33"
"41","Kaapo Kahkonen","MIN, S.J","36","1556.9333333333","800","737","63","0.921","2.43","4.33","62.62"
"27","Chris Driedger","SEA","27","1243.5833333333","584","537","47","0.920","2.27","2.15","50.57"
"30","Linus Ullmark","BOS","41","1833.45","850","782","68","0.920","2.23","3.53","61.3"
"50","Jake Oettinger","DAL","48","2203.6166666667","1057","972","85","0.920","2.31","3.95","85.47"
"3","Marc-Andre Fleury","CHI, MIN","56","2627.3333333333","1364","1254","110","0.919","2.51","4.79","106.15"
"28","Anthony Stolarz","ANA","28","1224.15","618","568","50","0.919","2.45","2.01","50.1"
"29","Connor Hellebuyck","WPG","66","3126.3833333333","1664","1530","134","0.919","2.57","6.04","140.28"
"17","Sergei Bobrovsky","FLA","54","2460.1","1200","1102","98","0.918","2.39","2.99","104.36"
"18","Jack Campbell","TOR","49","2296.7833333333","1161","1065","96","0.917","2.51","1.71","88.37"
"19","Scott Wedgewood","ARI, DAL, N.J","37","1739.9833333333","974","893","81","0.917","2.79","0.97","82.49"
"46","Adin Hill","S.J","25","1138.35","529","485","44","0.917","2.32","0.52","41.39"
"49","Carter Hart","PHI","45","2103.5","1151","1056","95","0.917","2.71","1.86","92.37"
"38","Elvis Merzlikins","CBJ","59","2687.7","1579","1447","132","0.916","2.95","0.88","123.83"
"52","Alexandar Georgiev","NYR","33","1473.8166666667","686","627","59","0.914","2.40","-1.27","60.63"
"14","Robin Lehner","VGK","44","2121.65","1036","946","90","0.913","2.55","-2.81","89.14"
"44","Sam Montembeault","MTL","38","1525.85","849","775","74","0.913","2.91","-2.55","69.33"
"6","James Reimer","S.J","48","2158.3666666667","1146","1045","101","0.912","2.81","-4.56","95.77"
"22","Laurent Brossoit","VGK","24","1035.8333333333","457","417","40","0.912","2.32","-1.54","41.72"
"36","Alex Nedeljkovic","DET","59","2638.1","1456","1328","128","0.912","2.91","-5.47","119.74"
"13","Mikko Koskinen","EDM","45","2117.2","1100","1001","99","0.910","2.81","-6.43","90.15"
"55","Nico Daws","N.J","25","1050.45","524","477","47","0.910","2.68","-2.90","41.52"
"7","Semyon Varlamov","NYI","31","1474.9666666667","803","730","73","0.909","2.97","-5.42","69.42"
"11","Dustin Tokarski","BUF","29","1378.5666666667","722","656","66","0.909","2.87","-5.24","56.79"
"24","Jordan Binnington","STL","37","1728.2166666667","934","849","85","0.909","2.95","-6.40","79.47"
"12","Martin Jones","PHI","35","1621.5166666667","910","826","84","0.908","3.11","-7.42","75.33"
"25","John Gibson","ANA","56","2629.2833333333","1391","1262","129","0.907","2.94","-11.94","120.94"
"32","Cal Petersen","L.A","37","1770.9166666667","784","710","74","0.906","2.51","-8.02","68.53"
"47","Karel Vejmelka","ARI","52","2255.9333333333","1320","1196","124","0.906","3.30","-12.91","106.5"
"45","Ilya Samsonov","WSH","44","1909.3166666667","914","826","88","0.904","2.77","-11.08","77.99"
"53","Kevin Lankinen","CHI","32","1471.1666666667","778","703","75","0.904","3.06","-9.53","58.57"
"4","Thomas Greiss","DET","31","1225.5166666667","685","617","68","0.901","3.33","-10.35","56.37"
"1","Craig Anderson","BUF","31","1529.4166666667","752","675","77","0.898","3.02","-13.71","64.66"
"43","Mackenzie Blackwood","N.J","25","1150.1666666667","616","553","63","0.898","3.29","-11.16","48.42"
"20","Philipp Grubauer","SEA","55","2537.9","1188","1063","125","0.895","2.96","-25.02","93.74"
